R package version: 0.0-4
Summary type: mean
Test type: t-test
Control treatment: 20
Control medium: SD
Control screen ID: URA3
Control screen name: cSGA
Control libraries: BooneSDLV2 BooneSDLV3
Control client: DAL
Control user: Addinall
Control date: 2010
Query treatment: 20
Query medium: SD
Query screen ID: CDC13-1
Query screen name: cdc13-1
Query libraries: BooneSDLV2 BooneSDLV3
Query client: DAL
Query user: Ciesolka
Query date: 2010
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	TestType	Type
YGL080W	FMP37	7.38080026593329e-07	0.000253161449121512	-56.0423281307049	12.8532080817092	64.5888351347936	1.61745660824181	4.38352871338503	t-test	S
YBL025W	RRN10	0.00681382699677187	0.249541306034735	-51.7447578353706	9.06517211955387	57.0086649490254	12.8759626321929	6.78113190993	t-test	S
YDL035C	GPR1	0.00410277674132703	0.17964924539683	-45.994104578316	22.87010989575	64.5594713369989	6.36526954706842	10.5829649234523	t-test	S
YGL253W	HXK2	0.409789865591298	0.998886363807577	-42.6380544380357	70.320588493636	105.897530761204	45.5571737521418	2.46692970236114	t-test	S
YHR162W	YHR162W	0.000109408122487067	0.0113836407869499	-38.2446655370046	34.8526182310897	68.5279289436454	2.03497641131901	5.50517415978851	t-test	S
YIL040W	APQ12	0.00934220744821874	0.289116735765927	-37.6815635296712	11.7573150922672	46.3484248198082	9.98447943478032	4.66460919352246	t-test	S
YKL110C	KTI12	0.493308019124409	0.998886363807577	-36.0641549985168	76.4346226485169	105.466411929904	46.5934426960382	5.07582389124715	t-test	S
YOL004W	SIN3	0.000342998987851442	0.0294121632082612	-36.008367956404	19.9278042401341	52.4395686962175	0.941664093706533	5.70197147378182	t-test	S
YFL018C	LPD1	6.42105824373493e-06	0.00138065616607322	-35.2687363881295	37.7948783590082	68.4963645932786	0.957000427438338	3.36109074935725	t-test	S
YBR036C	CSG2	0.0173691586735357	0.408631027037668	-35.2560542875067	20.5122399643411	52.28218490202	9.34111115103058	8.38653051252599	t-test	S
YLR451W	LEU3	3.74775746196329e-07	0.00018875168824845	-35.1177487197047	42.5225664474259	72.7869727391661	1.14440556368032	2.67718690404576	t-test	S
YKL055C	OAR1	7.26103097589606e-05	0.00810555633141375	-32.8590655181842	23.6916114835402	53.0156604393653	1.22731678238442	4.3239010850451	t-test	S
YKL120W	OAC1	7.11668572089771e-09	7.32306960680374e-06	-32.1627947274634	45.247550512563	72.5713783694249	1.80260018097366	1.75856880577571	t-test	S
YOR196C	LIP5	0.00159282032004328	0.0994899950374632	-30.8606842348558	23.9665029433976	51.3999069931412	1.39887030237314	6.34327114936793	t-test	S
YGR231C	PHB2	1.61316089271108e-22	6.6397702343988e-19	-30.1328066675021	38.8542008041792	64.6745884710644	0.675391592870607	1.96718824043739	t-test	S
YOR221C	MCT1	0.00286387472749892	0.145527263930686	-29.8942768591394	28.604473387844	54.8419584636757	1.4345546191688	6.7876694363062	t-test	S
YBR026C	ETR1	0.00404296687854077	0.17893388894703	-29.5531428202708	18.3161754020005	44.8769785772586	6.74853731443562	3.39635050401778	t-test	S
YNL288W	CAF40	0.0704140140349555	0.849923993454184	-29.4695021538669	46.9099829336731	71.6049579001699	1.25318044492539	13.799788629532	t-test	S
YHR067W	HTD2	0.00108607367268047	0.0732832661762759	-28.6142559756465	29.5961618734914	54.5716498960633	0.80237739703356	5.44346947817759	t-test	S
YMR207C	HFA1	0.00202641921947278	0.115878549472713	-27.8109141994757	36.3371104946149	60.1380933942528	1.61629798702291	5.99769115407547	t-test	S
YPL030W	TRM44	4.00840688040607e-08	3.29972054395027e-05	-26.8435319954611	46.4220797161831	68.6857346070052	1.56096313970822	1.84808372437228	t-test	S
YOR302W	YOR302W	0.0818097425735361	0.883802888274736	-26.6824079116655	13.0457266037032	37.2447051216025	11.3138374379614	7.02299919867054	t-test	S
YJL046W	YJL046W	0.0023125217557749	0.127410222581376	-25.2843219035947	33.4382422088139	55.0517815908266	1.16587215478292	5.52964133835835	t-test	S
YML013W	SEL1	0.0788864934066501	0.875193549492647	-25.0584929625909	22.8788396952313	44.9407413898599	10.3144064985433	6.98869205648197	t-test	S
YKL212W	SAC1	0.121070919829125	0.996655812033358	-25.0480147570688	18.5003236542265	40.8261057925336	12.3684864018211	6.80889712005235	t-test	S
YHL025W	SNF6	0.0453108889453426	0.678180432360109	-24.6772454323004	20.9788822910343	42.8021359369897	7.51726622868228	7.86118440782265	t-test	S
YOL049W	GSH2	0.0298199428585774	0.531337163661924	-24.3302636557559	13.1310356118775	35.1195710977914	7.08174875854212	6.61730871098453	t-test	S
YJR109C	CPA2	0.0115858305811314	0.335825906140399	-24.2142840123783	9.69144995012875	31.7862663014435	7.48268403169085	3.57844151883851	t-test	S
YCR028C-A	RIM1	0.0017397934491126	0.102299854807821	-24.0789548209865	34.2539441210562	54.6864746227679	2.02819871812105	5.13513730465803	t-test	S
YGR193C	PDX1	0.00214395175207572	0.120883635774571	-23.862832014944	52.1363279414983	71.2484071199518	0.74986156800645	5.10419639356134	t-test	S
YER061C	CEM1	0.00315826047595204	0.154353618645347	-23.7560109776557	35.955973282658	55.9793524949133	1.25339517132694	5.49919958888424	t-test	S
YIL054W	YIL054W	0.161348801502797	0.998886363807577	-23.5696924073464	55.771179368183	74.381226539276	1.11730595791118	14.7358895863154	t-test	S
YBR221C	PDB1	3.77784022288548e-05	0.0051672192287132	-23.3033348909715	50.6676179113052	69.3469844051953	2.40096623736256	2.95320228973329	t-test	S
YCR081W	SRB8	0.0295453837807708	0.531337163661924	-22.8444825854253	8.85182346049702	29.7149510422586	7.71576177488588	3.36946591342224	t-test	S
YOL064C	MET22	0.101892125240987	0.948841600660414	-22.2713322492753	8.63609278944955	28.9753834575351	10.884297906811	3.36421817621351	t-test	S
YNL169C	PSD1	0.0234378114224927	0.47289231281853	-21.5305472143877	33.2185028482824	51.3266542752763	2.11067160761816	7.43228093615951	t-test	S
YLR087C	CSF1	0.118538285899865	0.993673468340925	-21.3463611346065	25.1910666642501	43.6283454189315	10.197434722952	6.44476395357168	t-test	S
YGR157W	CHO2	0.0763552373862354	0.860748574780006	-21.2851703008762	21.6184845180818	40.2217217562269	7.79806143169984	7.36609371942498	t-test	S
YOR297C	TIM18	0.14868491245206	0.998886363807577	-20.9583768856136	32.8407685359399	50.4361287400704	8.84412028920721	9.86557497747823	t-test	S
YBR170C	NPL4	0.142719424999995	0.998886363807577	-20.9373022484305	44.4338770770503	61.2847878997959	2.54587812183439	12.5259562621602	t-test	S
YDR245W	MNN10	0.0900864961963709	0.909411715805155	-20.5282577180838	19.0274109092351	37.0830201791227	8.91938192104246	5.69574666742997	t-test	S
YDL013W	HEX3	0.220818864412627	0.998886363807577	-20.3664154968909	10.7974458611214	29.2157897894919	12.7699877763562	6.86305788214639	t-test	S
YHR041C	SRB2	0.085920540464095	0.897668885875522	-20.0027182663262	25.3300334257846	42.4989743344314	8.54394006071111	5.51222371252904	t-test	S
YKL139W	CTK1	0.120833055783826	0.996655812033358	-19.4522568248894	14.9873754710391	32.2867903314733	7.30897640264938	8.81173042549293	t-test	S
YBR093C	PHO5	0.058699377542994	0.767005199895121	-19.3345297604949	33.2610486112441	49.3077973846912	5.89689431893212	6.96618831371117	t-test	S
YOR350C	MNE1	7.06366623682116e-06	0.00138447858241695	-19.2075214653979	47.5681231715828	62.6014592466495	1.82477792336727	0.740745458082458	t-test	S
YOR303W	CPA1	0.0971683980630119	0.93445122997046	-18.9343401472866	8.27624208236776	25.5096324983128	8.84820789881828	4.123131311764	t-test	S
YER153C	PET122	2.32026734275306e-06	0.000636681358851439	-18.8551787100419	48.3617787560682	63.015185347505	1.60078641681522	1.7775422867884	t-test	S
YLR089C	ALT1	0.16737021850056	0.998886363807577	-18.815353152271	11.7164605075077	28.6232517700088	9.66198776126131	7.69669224198758	t-test	S
YOR125C	CAT5	4.12722350397485e-07	0.00018875168824845	-18.6412174647193	46.6732819854448	61.2316511173054	0.826576155728244	1.54285226133942	t-test	S
YCL044C	MGR1	0.000182969540308539	0.0171159688161351	-18.1170363339841	55.2842081713392	68.8128889138213	2.36577145478627	2.56646729255276	t-test	S
YMR202W	ERG2	0.191642999462133	0.998886363807577	-18.1131442858105	15.2065540741053	31.2368641340494	9.32154337178501	8.6655925420369	t-test	S
YML090W	YML090W	0.000151835683740395	0.0148798970065587	-18.0366839768226	58.4755989383599	71.7294544563679	2.60193301338267	1.88612520163868	t-test	S
YOR354C	MSC6	5.19898046001674e-07	0.000206767634274938	-17.8318070914176	53.0806634757935	66.4796897195963	1.29898592515678	1.50363699692561	t-test	S
YPL183W-A	RTC6	9.32120826980443e-08	6.39434887308584e-05	-17.6675735634243	43.3744624207625	57.2262618919042	1.24990854558048	1.05086528216092	t-test	S
YIL084C	SDS3	0.0414404704969442	0.641138073118909	-17.4558329134173	46.2432246153841	59.7171914343581	1.39909447898334	6.97324608529828	t-test	S
YLR038C	COX12	5.52586000248863e-07	0.000206767634274938	-17.284243269905	45.938638357003	59.2707815722195	1.42714413227302	1.0704839157682	t-test	S
YHL005C	YHL005C	0.0134351513000366	0.363809754940465	-17.2436163123001	35.8133294171815	49.74032439361	1.53373623596904	5.26633891508388	t-test	S
YPR066W	UBA3	5.8899728632112e-06	0.00138065616607322	-17.1068811439776	50.3727689974238	63.2614569469189	1.4342285380931	1.83799178592296	t-test	S
YHL023C	RMD11	0.0255563966635635	0.489316264571115	-17.0878980738915	40.6108078014855	54.0919253431134	1.74170236628896	6.01584320226672	t-test	S
YPR024W	YME1	0.127027703299405	0.998886363807577	-16.774688391184	21.6929640920302	36.0630165733897	5.87623186556619	8.16838490926135	t-test	S
YOR065W	CYT1	1.01938882434483e-05	0.00162918852973165	-16.7416579575102	44.4736058121396	57.3886611051353	1.38177413096141	1.92268835944735	t-test	S
YER178W	PDA1	0.00750694980561143	0.261924828000441	-16.7233456474701	48.9627824846065	61.580049068566	1.45131951603677	4.55714603158504	t-test	S
YMR256C	COX7	0.000655569787467794	0.0499689860225452	-16.5912464734936	47.3924903241902	59.9840752322786	2.88726039985504	1.45123005362405	t-test	S
YLR239C	LIP2	0.149177683571056	0.998886363807577	-16.5536138337922	29.7567497980173	43.4154751684525	6.25439577983953	8.50450127884297	t-test	S
YPL090C	RPS6A	0.227005176161125	0.998886363807577	-16.5247431500276	53.063680669946	65.2384099245684	1.49301851986772	12.4144784583762	t-test	S
YHR116W	COX23	6.49503155449812e-05	0.00786280878773949	-16.3049235530603	49.1324852404573	61.3468773242675	1.37735411743739	2.29191808860897	t-test	S
YKL167C	MRP49	0.0256759301585779	0.489316264571115	-16.1634211826845	39.5925803209485	52.2706605808311	1.36731254603662	5.71315515504088	t-test	S
YPL180W	TCO89	0.251570035187295	0.998886363807577	-15.8067474170971	16.928212724012	30.6886782502052	9.06634677493966	9.0042540884013	t-test	S
YMR115W	FMP24	0.000395545540652121	0.0332258254147781	-15.7998185242258	52.1466695718913	63.6991125825298	2.04801650461683	2.59221771360392	t-test	S
YCR071C	IMG2	0.151207682121264	0.998886363807577	-15.7571808509988	43.4910829276636	55.5446194572654	6.79769355977594	7.42501539537835	t-test	S
YGR183C	QCR9	2.47803860750745e-07	0.000145708670121438	-15.6531307322781	51.1341299068729	62.6123491255931	1.10757647750738	1.21405707095473	t-test	S
YPR191W	QCR2	1.83830535072092e-06	0.000540461773111952	-15.6490928326774	44.2554577037345	56.159881338191	1.30672440499771	0.594774773835354	t-test	S
YHR178W	STB5	0.263991060249267	0.998886363807577	-15.4040749797819	6.91638986267669	20.9251992668539	10.4603840221218	6.91638986267669	t-test	S
YKL087C	CYT2	1.81147893127963e-06	0.000540461773111952	-15.3212618373587	56.032952783201	66.8938200885878	1.29529787838293	1.3927974022009	t-test	S
YPR134W	MSS18	1.62194503010431e-05	0.00238425919425334	-15.2799131058336	46.6929420341833	58.0988949868969	1.63120008009379	1.62050651358524	t-test	S
YMR038C	CCS1	0.332899549078975	0.998886363807577	-15.2700784210126	17.515679271939	30.7363004167718	11.2345770273495	9.33819165592823	t-test	S
YDR289C	RTT103	0.0016996387563836	0.101387146685143	-15.0446705257707	47.0405072344671	58.2041962531065	1.71568373174511	3.16289999565377	t-test	S
YJL204C	RCY1	0.242735082940329	0.998886363807577	-15.0183917732515	27.2142007404022	39.5926079560404	8.02264222164499	8.85276327588301	t-test	S
YNL052W	COX5A	0.000132350044158453	0.0132866532135657	-14.6334677525853	61.2439642771472	71.1342884785739	2.08472277444847	1.18832513344579	t-test	S
YBR200W	BEM1	0.513101802993254	0.998886363807577	-14.4846525882044	35.3621033846457	46.7308055141399	16.4292007316038	11.0296921288563	t-test	S
YKL208W	CBT1	1.29815939849892e-05	0.00197897188304502	-14.2587038955803	58.9633724100842	68.6449206252302	1.27168459646183	1.65513697310366	t-test	S
YOR017W	PET127	6.69390205848844e-06	0.00138065616607322	-14.2411558716164	57.671549218114	67.4173989852873	1.46030612742962	0.875022559201873	t-test	S
YGR174C	CBP4	3.89173459888507e-05	0.0051672192287132	-13.9311310070839	50.3410628083662	60.2545006297462	1.04892131230346	1.85126906982719	t-test	S
YNL106C	INP52	0.261172140733773	0.998886363807577	-13.6615943704388	14.3280633302256	26.2400074967669	9.56006647150554	5.05662488509924	t-test	S
YFL031W	HAC1	0.279190839262169	0.998886363807577	-13.5690425082993	56.013645088947	65.2330322765466	3.39246371320851	11.1631978196776	t-test	S
YOR037W	CYC2	9.03264047250849e-06	0.00161644992108021	-13.4142586265165	57.7804678933723	66.7443016842541	1.36802491758272	1.32851993808791	t-test	S
YLR218C	YLR218C	7.48326386282125e-05	0.00810555633141375	-13.4053623900648	54.1138879560325	63.2985817191905	1.71887852354726	1.55183558260372	t-test	S
YDR336W	YDR336W	0.00872822900043177	0.282425798862072	-13.326960448337	66.1582736054098	74.5165646453432	1.85458358555244	3.66874384974518	t-test	S
YKR016W	FMP13	7.29307449747775e-05	0.00810555633141375	-13.1175060764369	46.7023058662007	56.080439804476	1.08193029694329	1.86847980913792	t-test	S
YML009C	MRPL39	0.000196338986674451	0.0175680710685226	-13.011060588726	58.6231486733539	67.1563120979977	1.43005705534958	2.03099644330354	t-test	S
YML103C	NUP188	0.0926675541180714	0.91467542625895	-12.8682089894865	46.0187279536342	55.205879377812	1.14777085651782	6.56539293808855	t-test	S
YNL071W	LAT1	0.0528530716260216	0.737434721399	-12.7976399067356	57.0933747590136	65.5220856360229	1.66259648728972	5.40854189889686	t-test	S
YNL097C	PHO23	0.0396871494938978	0.633148477972416	-12.7005306750131	65.5777412760065	73.3850504638344	2.90876072599566	4.56857005178466	t-test	S
YPL181W	CTI6	0.0230876789232007	0.471654560381551	-12.5522577614346	71.5454786478032	78.8407367263781	1.29832381175249	4.31306243546675	t-test	S
YNL249C	MPA43	0.251398342585605	0.998886363807577	-12.4967616839758	66.4215116805303	73.9850450070843	1.62028765194908	9.89750117519429	t-test	S
YDL119C	YDL119C	0.000195754526917847	0.0175680710685226	-12.4936527801267	61.9067523987187	69.7495914574565	1.68421328165879	1.73790750245475	t-test	S
YLR193C	UPS1	0.100833400064272	0.946055435691586	-12.486108596435	41.7145341399651	50.8125282181983	1.40174094937346	6.53503834872815	t-test	S
YDR392W	SPT3	0.0749712874019818	0.860748574780006	-12.2635448253492	45.0974947148777	53.7753667320543	1.32264957431695	5.80501266976905	t-test	S
YGR122W	YGR122W	0.000837899861416732	0.0605051899928293	-12.1733073701994	60.8708179251282	68.4780934387303	0.894050281055416	2.32568018283705	t-test	S
YPR020W	ATP20	0.000233444670938658	0.0204437928847557	-12.1558735507725	52.5344738106672	60.6465151480697	1.78206547726734	1.53989816201447	t-test	S
YGR208W	SER2	0.0244714259763497	0.48657868789362	-12.124906089093	56.0138183081951	63.8793320778099	1.44198043457128	4.20558093518652	t-test	S
YML013C-A	YML013C-A	0.247237797527664	0.998886363807577	-12.0745722871421	37.9674466974535	46.9138625185105	7.81947092605956	5.38001746271719	t-test	S
YDR395W	SXM1	0.0527856466099085	0.737434721399	-12.0551138406419	65.6251848421747	72.8244568614289	1.99106895806071	5.01426089198459	t-test	S
YOR275C	RIM20	0.000449184028586461	0.0369768292332374	-12.0237980914369	59.0970972614424	66.6750857475483	1.41920462309258	2.07654125160818	t-test	S
YDR116C	MRPL1	0.000516652998308045	0.0401234668119983	-11.876378754243	40.2037199919977	48.824540698162	2.00522363237068	1.08293108294075	t-test	S
YNL064C	YDJ1	0.225366265743397	0.998886363807577	-11.8583130368178	21.046922888303	30.8483099933572	6.87426063530452	5.76161702346562	t-test	S
YDL206W	YDL206W	0.333480269164823	0.998886363807577	-11.6701623895531	67.4293747916609	74.1549779144521	1.1036477729906	11.1913681562079	t-test	S
YER093C-A	YER093C-A	0.000482765175996167	0.0382127204692351	-11.5928068719336	50.9449978655942	58.62852924797	0.528627148078987	1.9905724680349	t-test	S
YCL038C	ATG22	0.31667337072985	0.998886363807577	-11.4626712976527	72.1442534209704	78.380605967404	1.25528938227545	10.5716902984217	t-test	S
YDR316W	OMS1	0.00256861595366209	0.135543888016323	-11.1312329757306	66.7854587878596	73.0460728696709	1.28090985558172	2.50849362056477	t-test	S
YMR243C	ZRC1	0.0127802143041662	0.354623952404524	-11.0772088725003	63.4021491940833	69.8236089530722	1.74856725355356	3.24447618770688	t-test	S
YMR154C	RIM13	0.00620202254378639	0.240825705568158	-11.0666062729984	62.2309963776959	68.7157257733667	1.70304078954403	2.80417346058141	t-test	S
YBL011W	SCT1	0.0141500867847965	0.37096660640906	-11.0637959209415	58.8376234273168	65.5318399156201	2.0352072978957	3.20818357251306	t-test	S
YMR023C	MSS1	0.00237366344229009	0.127669116063789	-11.0363249649858	64.9477973760112	71.2343095148206	2.00954594876575	2.07225475429983	t-test	S
YGR197C	SNG1	0.334260454589883	0.998886363807577	-11.0257880798004	69.2854192894227	75.2909058760225	1.79609230725964	10.5087066450854	t-test	S
YKL184W	SPE1	0.327641396270375	0.998886363807577	-10.9661727829112	9.15910676400881	18.8672363139752	8.32278561510596	6.0803659520098	t-test	S
YHR189W	PTH1	0.00168528278003339	0.101387146685143	-10.9288486622323	48.6346183087579	55.8401191099635	1.00744559270975	2.32232059055301	t-test	S
YNL037C	IDH1	0.319993002861012	0.998886363807577	-10.9174799338572	67.6602385451136	73.6657784106479	2.32779053967976	9.98115409121875	t-test	S
YKL040C	NFU1	0.0756907546797585	0.860748574780006	-10.7629166869162	64.8165144140575	70.8549157656847	1.81375380514242	5.00524833700495	t-test	S
YHR025W	THR1	0.494473808350613	0.998886363807577	-10.7453622663721	12.8049027765624	22.0781239229938	12.2191834796725	7.08162729785967	t-test	S
YMR063W	RIM9	0.00168376344390818	0.101387146685143	-10.7360294747436	57.4431922547804	63.9172978976436	1.72477294754487	2.06117883718576	t-test	S
YGL255W	ZRT1	0.505917053763526	0.998886363807577	-10.7328652401298	17.5254228429119	26.4918456336538	13.0313666645117	7.02757008076767	t-test	S
YNL295W	YNL295W	0.000923359219489577	0.0648137753845029	-10.6892962096703	63.4911594779784	69.5433911401953	1.65860824693087	1.84376643059854	t-test	S
YBL021C	HAP3	0.0164176970316745	0.399853496937115	-10.618417262665	56.1759849760468	62.6190442995041	1.1431588473302	3.3765893828953	t-test	S
YAL013W	DEP1	0.0173737681563634	0.408631027037668	-10.6011397595706	54.9248157753542	61.4298889560349	1.4003625603102	3.38251654945988	t-test	S
YER116C	SLX8	0.3483276400465	0.998886363807577	-10.4274521718753	26.2796574998915	34.4125263435765	7.5871355437659	7.05887285380185	t-test	S
YOL008W	COQ10	4.72860836007453e-05	0.00608217250314586	-10.4084543183975	51.2389531336048	57.79379122805	0.997718784136176	1.3911945047154	t-test	S
YKL137W	YKL137W	0.0156334019751997	0.385311871436658	-10.4029890243542	66.560680362889	72.1526244907243	1.56145063674258	3.20648801906657	t-test	S
YGR105W	VMA21	0.502747595296579	0.998886363807577	-10.3858773738504	27.2550105594488	35.2879335688084	9.98548708947831	10.69998649879	t-test	S
YLR290C	YLR290C	5.58174582684803e-05	0.00696195934039591	-10.2905951431175	55.6585829046321	61.8266555770521	1.31466805057236	1.05843526855546	t-test	S
YCR006C	YCR006C	0.00104496105342423	0.071684328264902	-10.1832911863723	71.2286421597302	76.3228248152997	1.61944286455726	1.76908793829989	t-test	S
YBL059W	YBL059W	0.00350953470992716	0.164150509841593	-10.0937814405316	64.4738171672151	69.9063335253553	1.86366096098426	2.08343829508147	t-test	S
YGL236C	MTO1	0.00639457985753721	0.243704543459474	-10.0822279813385	68.757324645895	73.91124515007	0.765730460184148	2.66471191886307	t-test	S
YER052C	HOM3	0.00702285341850797	0.253561970794551	-9.96562941979686	63.5475814261188	68.9178561716544	1.95042930893114	2.36542186861974	t-test	S
YKL109W	HAP4	3.14514103071255e-13	6.47270024120642e-10	-9.96024789142922	51.3546978588702	57.4821119056957	0.625452903562012	0.974647154315807	t-test	S
YMR265C	YMR265C	0.357937312728528	0.998886363807577	-9.95508480123061	68.0937000317675	73.1699087224921	1.86845325620737	9.97291892746231	t-test	S
YGL046W	YGL046W	0.00885963988518407	0.282425798862072	-9.85907941092997	65.6172472010283	70.7582563997986	0.613931851142867	2.76774144936298	t-test	S
YDR349C	YPS7	0.391467769469076	0.998886363807577	-9.83899085932848	72.3293165587524	77.0319174927211	2.01342671204629	10.6113507155151	t-test	S
YDR512C	EMI1	0.151576002341249	0.998886363807577	-9.8337770597886	36.7269203708961	43.6501604521894	2.67829543713178	5.67208347182791	t-test	S
YLR377C	FBP1	0.00202703001993083	0.115878549472713	-9.79241825109818	69.8499515821476	74.663877773505	1.50210357561982	2.00075668145668	t-test	S
YLR395C	COX8	0.00463305053972919	0.190014789281341	-9.73378831855239	63.9020672031475	69.0328342555751	1.10409167595634	2.42197044198473	t-test	S
YLR188W	MDL1	0.0011081461034557	0.0735666026100587	-9.46998046225609	69.4342236369208	73.9718552199256	1.21288623838028	1.84295190016176	t-test	S
YLR255C	YLR255C	0.0171688750403553	0.408480287087296	-9.46661830462106	64.3887435056101	69.238619075034	1.08955687184418	3.03337322138679	t-test	S
YDL237W	YDL237W	0.264723982112287	0.998886363807577	-9.41747352159898	71.3031460213273	75.6747254504571	2.20754872740492	7.51773949126027	t-test	S
YOR030W	DFG16	0.0153097164976371	0.381907836995602	-9.32229405591148	65.4234784583372	70.073369674648	0.94465057370064	2.92435967058873	t-test	S
YDR158W	HOM2	0.0112428821925145	0.332000378511853	-9.32224846668818	65.8634497468062	70.4857953559365	2.10878674253531	2.26909351928692	t-test	S
YDL142C	CRD1	0.00436319620431483	0.187036311259207	-9.26896545726662	51.5730531317407	57.0387477034449	0.973018839548234	2.28882553249508	t-test	S
YBR231C	SWC5	0.397866249288851	0.998886363807577	-9.22416577440178	42.7258723330367	48.7026102274967	7.51919300645878	6.88344349397572	t-test	S
