R package version: 0.0-4
Summary type: mean
Test type: t-test
Control treatment: 37
Control medium: SD
Control screen ID: URA3
Control screen name: cSGA
Control libraries: BooneSDLV3 BooneSDLV2
Control client: DAL
Control user: Addinall
Control date: 2010
Query treatment: 36
Query medium: SD
Query screen ID: CDC13-1
Query screen name: cdc13-1
Query libraries: BooneSDLV3 BooneSDLV2
Query client: DAL
Query user: Addinall
Query date: 2010
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	TestType	Type
YKL129C	MYO3	0.0045337633092144	0.00643259902817183	-2.46400379011315	0	167.554949738789	40.7987932914908	0	t-test	E
YPL035C	YPL035C	0.00523525217271762	0.00740491338244183	-2.44470815821512	0	166.242825688564	41.6317963122115	0	t-test	E
YKR097W	PCK1	0.00508162137541142	0.00719255625212979	-2.42848022056679	0	165.139308198883	41.1143893914794	0	t-test	E
YHL041W	YHL041W	0.00474655421117913	0.00672755410923323	-2.42001559368292	0	164.563704322876	40.4289144020366	0	t-test	E
YNL029C	KTR5	0.00554909114412915	0.0078407343457726	-2.40266939141303	0	163.384143617186	41.3882968392404	0	t-test	E
YOL137W	BSC6	0.0062637478041394	0.00879017591607152	-2.39589478528162	0	162.923462998754	42.2790304143754	0	t-test	E
YNR047W	YNR047W	0.0149818667681342	0.0205963138335473	-2.39339487817639	0	162.753466584361	48.2480381813198	0	t-test	E
YJL192C	SOP4	0.00565982080286448	0.00798622640541316	-2.38863174711954	0	162.429568468607	41.3077585216036	0	t-test	E
YNR044W	AGA1	0.0060888555249986	0.00855933379128901	-2.38662970908687	0	162.293427695088	41.8775836323972	0	t-test	E
YLR034C	SMF3	0.00518588666533969	0.00733761069595674	-2.37280058427317	0	161.353032098949	40.3321096433053	0	t-test	E
YBR261C	YBR261C	0.004291060594281	0.00609665357475341	-2.37089709342051	0	161.223592641337	38.8420237971381	0	t-test	E
YPR201W	ARR3	0.00672239099010555	0.00940814733603348	-2.36901018532914	0	161.09528082961	42.4031908626865	0	t-test	E
YGR248W	SOL4	0.00566854609025654	0.00799579702107468	-2.36766109987807	0	161.003541545015	40.957606756142	0	t-test	E
YLR446W	YLR446W	0.00648463961688763	0.00909086398607272	-2.35737816921121	0	160.304291025203	41.8898298094689	0	t-test	E
YHR126C	YHR126C	0.00627981385736694	0.00880971841749227	-2.35375946166726	0	160.058214958649	41.5568218216296	0	t-test	E
YNL023C	FAP1	0.00541095506315247	0.00764817686810974	-2.35277777414543	0	159.991459134636	40.3275703081702	0	t-test	E
YPL036W	PMA2	0.00410462669077104	0.0058378173666944	-2.35010499841749	0	159.809707465035	38.1739322386307	0	t-test	E
YBR073W	RDH54	0.00469728984590081	0.0066623173693066	-2.34826787584091	0	159.684781122706	39.1507567066187	0	t-test	E
YIL038C	NOT3	0.00670472611649879	0.00938981037615141	-2.34191912538254	0	159.253059155303	41.8960152589223	0	t-test	E
YIL166C	YIL166C	0.00587822286986067	0.00827737438670767	-2.34040892065008	0	159.150363583544	40.7793028176253	0	t-test	E
YGR107W	YGR107W	0.00570841172832256	0.00804927121403757	-2.34001040168928	0	159.123263858813	40.535578433679	0	t-test	E
YPL127C	HHO1	0.00640027212007862	0.00897564567163325	-2.33726965689769	0	158.936890218624	41.4233163667592	0	t-test	E
YNL205C	YNL205C	0.00841749642983278	0.0116733205206172	-2.33463696712689	0	158.757864437904	43.7561599895395	0	t-test	E
YNL196C	YNL196C	0.00558597796181975	0.00788701476081112	-2.33441104692185	0	158.742501617135	40.2652269088194	0	t-test	E
YGR221C	TOS2	0.0062137252322927	0.00872592734770274	-2.33264292342371	0	158.622267287524	41.09680278677	0	t-test	E
YKR030W	GMH1	0.00687285800306116	0.00961219284424048	-2.33189960778023	0	158.571721011669	41.9262257780207	0	t-test	E
YPL087W	YDC1	0.00701260567511403	0.00979765273549537	-2.32964434698932	0	158.418360813935	42.0569599482368	0	t-test	E
YJL206C	YJL206C	0.00592052880370891	0.00833409594940693	-2.3171585610792	0	157.569313730885	40.4318704063067	0	t-test	E
YER181C	YER181C	0.00746492054422527	0.0104013584834229	-2.31660611323223	0	157.531746673723	42.357507945751	0	t-test	E
YHL012W	YHL012W	0.00496841225345706	0.00703715926883319	-2.31446970101822	0	157.386468309064	39.0117520354196	0	t-test	E
YKR028W	SAP190	0.00706868701748209	0.0098693065685062	-2.3137267530148	0	157.335947033135	41.8372174127671	0	t-test	E
