R package version: 0.0-30
Summary type: mean
Test type: t-test
x-axis treatment: 27
x-axis medium: SDM_rhk_CTGN
x-axis screen ID: QFA0141
x-axis screen name: Addinall et al. (2011) 27C ura3
x-axis libraries: SDLV2_384_SDLV3_384
x-axis client: DAL
x-axis user: SGA
x-axis date: 2010/01/18
x-axis PI: DAL
x-axis condition: SDM_rhk_CTGN
x-axis inoculation type: DIL
x-axis fitness definition: MDRMDP
y-axis treatment: 30
y-axis medium: SDM_rhk_CTGN
y-axis screen ID: QFA0139
y-axis screen name: Addinall et al. (2011) 30C yku70
y-axis libraries: SDLV2_384_SDLV3_384
y-axis client: DAL
y-axis user: SGA
y-axis date: 2009/08/28
y-axis PI: DAL
y-axis condition: SDM_rhk_CTGN
y-axis inoculation type: DIL
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YMR285C	NGL2	1.05228e-13	9.037e-11	-137.576	3.45012	140.925	3.45012	2.57205	8	8	t-test	E
YJL130C	URA2	1.51634e-10	5.42597e-08	-137.475	0	137.377	0	2.45264	8	8	t-test	E
YMR284W	YKU70	2.29972e-14	2.46875e-11	-135.145	2.88752	137.934	2.88752	2.01709	8	8	t-test	E
YMR283C	RIT1	1.17786e-11	6.32219e-09	-135.027	0	134.931	0	1.67139	8	8	t-test	E
YMR289W	ABZ2	1.35075e-10	5.27286e-08	-133.499	0	133.403	0	2.3426	8	8	t-test	E
YML106W	URA5	1.02135e-10	4.38569e-08	-131.796	0	131.702	0	2.22202	8	8	t-test	E
YIL009C-A	EST3	3.09149e-13	1.95514e-10	-130.422	3.11699	133.444	3.11699	1.91267	8	8	t-test	E
YLR014C	PPR1	1.00592e-10	4.38569e-08	-129.057	0	128.965	0	2.1711	8	8	t-test	E
YLR420W	URA4	3.28928e-10	1.08647e-07	-127.767	5.37416	133.046	5.37416	3.05194	8	8	t-test	E
YNL257C	SIP3	8.6408e-05	0.0176684	-126.25	26.6535	152.794	18.0269	13.5219	8	8	t-test	E
YKL216W	URA1	1.33531e-07	3.82254e-05	-118.594	10.7621	129.264	7.29974	2.57011	8	8	t-test	E
YMR291W	TDA1	1.04578e-05	0.00249477	-116.661	17.3454	133.911	10.9732	1.88557	8	8	t-test	E
YJL071W	ARG2	9.55193e-05	0.0186436	-116.119	0	116.036	0	14.6113	8	8	t-test	E
YEL065W	SIT1	0.00218838	0.173499	-113.763	24.4049	138.069	24.4049	3.67852	8	8	t-test	E
YNL259C	ATX1	0.000918961	0.0986504	-107.387	23.4579	130.752	19.7717	2.53372	8	8	t-test	E
YLR233C	EST1	1.73822e-24	7.4639e-21	-104.009	32.3895	136.301	5.99292	1.1639	56	56	t-test	E
YLR418C	CDC73	1.19877e-05	0.00270922	-102.616	13.5222	116.055	10.0235	2.07371	8	8	t-test	E
YMR279C	YMR279C	0.00183467	0.16461	-102.081	29.9614	131.948	21.1196	2.23782	8	8	t-test	E
YNL106C	INP52	0.000448746	0.0535255	-100.884	0	100.812	0	16.2811	8	8	t-test	E
YEL061C	CIN8	0.000267734	0.0370855	-100.528	15.4786	115.924	15.4786	3.31006	8	8	t-test	E
YMR292W	GOT1	0.00218713	0.173499	-99.3477	30.4723	129.727	21.2472	2.64046	8	8	t-test	E
YBR036C	CSG2	2.23869e-06	0.000600807	-99.1084	5.79158	104.825	5.79158	9.76527	8	8	t-test	E
YFR025C	HIS2	0.00041183	0.0520117	-98.4094	0	98.3391	0	15.6578	8	8	t-test	E
YCR071C	IMG2	0.000209422	0.0359703	-96.8036	3.1416	99.8738	3.1416	14.369	8	8	t-test	E
YDR369C	XRS2	9.16557e-06	0.00231512	-93.9766	6.67141	100.576	4.41712	10.1241	8	8	t-test	E
YNL265C	IST1	0.00200864	0.171921	-93.8349	12.8003	106.559	6.26014	20.2486	8	8	t-test	E
YMR278W	PRM15	0.00443696	0.232345	-93.6185	39.1193	132.643	22.7395	1.64208	8	8	t-test	E
YLR085C	ARP6	0.00174301	0.16461	-93.4698	34.4388	127.817	19.6637	5.66778	8	8	t-test	E
YMR276W	DSK2	0.0103009	0.362556	-90.7531	47.9926	138.647	26.1355	2.46291	8	8	t-test	E
YMR280C	CAT8	0.00614986	0.290192	-90.3845	46.4069	136.694	23.4239	2.22604	8	8	t-test	E
YMR275C	BUL1	0.007222	0.307411	-89.4773	36.5293	125.917	23.9142	1.3151	8	8	t-test	E
YBL025W	RRN10	0.00922121	0.341344	-88.652	3.38306	91.9693	3.38306	24.9648	8	8	t-test	E
YGL168W	HUR1	0.000190838	0.0341441	-87.691	12.9644	100.584	12.9644	3.1936	8	8	t-test	E
YIL040W	APQ12	0.0035046	0.206147	-87.2655	0	87.2032	0	20.2126	8	8	t-test	E
YBR122C	MRPL36	0.0141411	0.424629	-86.6937	46.1714	132.77	26.7817	4.70952	8	8	t-test	E
YJR084W	CSN12	0.00829783	0.331212	-85.2129	47.175	132.293	23.484	2.83777	8	8	t-test	E
YNL081C	SWS2	0.0013381	0.133623	-84.0487	25.2671	109.238	16.6237	2.98558	8	8	t-test	E
YBR170C	NPL4	0.00409686	0.226208	-83.4763	8.59663	92.0072	5.62791	20.2916	8	8	t-test	E
YOL095C	HMI1	0.00976505	0.352362	-82.4424	37.2879	119.645	18.3376	20.5184	8	8	t-test	E
YEL060C	PRB1	0.0136141	0.423864	-81.58	50.163	131.649	24.9506	2.42233	8	8	t-test	E
YLR449W	FPR4	0.00867371	0.33554	-80.621	47.7065	128.236	22.3836	1.64507	8	8	t-test	E
YMR274C	RCE1	0.021239	0.503828	-79.9263	53.1853	133.016	27.0484	1.8904	8	8	t-test	E
YNL201C	PSY2	0.0192538	0.489206	-79.7285	58.4682	138.098	26.3861	5.51326	8	8	t-test	E
YGR055W	MUP1	0.0147726	0.437473	-79.6481	58.4329	137.982	23.6889	14.6945	8	8	t-test	E
YML107C	PML39	0.00229648	0.173499	-78.2774	41.6508	119.843	16.9331	2.51888	8	8	t-test	E
YGL167C	PMR1	0.000774591	0.0859687	-77.6553	21.4469	99.0314	14.0453	2.63202	8	8	t-test	E
YOR302W	YOR302W	0.00293268	0.184268	-76.5985	0	76.5438	0	17.1586	8	8	t-test	E
YGR157W	CHO2	0.00300391	0.184268	-76.5184	0	76.4637	0	17.2175	8	8	t-test	E
YMR282C	AEP2	0.000223089	0.036844	-76.4066	11.7675	88.1111	11.7675	3.54163	8	8	t-test	E
YNL281W	HCH1	0.0116725	0.385551	-76.3463	56.8255	133.077	22.579	2.07549	8	8	t-test	E
YOL004W	SIN3	0.00255451	0.178698	-74.9603	28.2129	103.1	16.473	1.91355	8	8	t-test	E
YNL255C	GIS2	0.0155973	0.455611	-74.7344	58.5557	133.195	23.5638	2.63321	8	8	t-test	E
YJR109C	CPA2	0.000236549	0.0370855	-74.4983	0	74.445	0	15.528	16	16	t-test	E
YLR337C	VRP1	0.000242624	0.0370855	-73.3254	11.1998	84.4649	11.1998	2.64858	8	8	t-test	E
YEL062W	NPR2	0.010044	0.359407	-73.1144	16.3773	89.4278	13.487	19.912	8	8	t-test	E
YEL063C	CAN1	0.0171816	0.467725	-72.8724	4.01121	76.8287	4.01121	23.4845	8	8	t-test	E
YMR224C	MRE11	3.73304e-21	8.01483e-18	-72.1254	3.15856	75.2301	1.25295	4.92192	56	56	t-test	E
