R package version: 0.0-30
Summary type: mean
Test type: t-test
x-axis treatment: 37
x-axis medium: SDM_rhk_CTGN
x-axis screen ID: QFA0141
x-axis screen name: Addinall et al. (2011) 37C ura3
x-axis libraries: SDLV2_384_SDLV3_384
x-axis client: DAL
x-axis user: SGA
x-axis date: 2010/01/18
x-axis PI: DAL
x-axis condition: SDM_rhk_CTGN
x-axis inoculation type: DIL
x-axis fitness definition: MDRMDP
y-axis treatment: 37_5
y-axis medium: SDM_rhk_CTGN
y-axis screen ID: QFA0139
y-axis screen name: Addinall et al. (2011) 37.5C yku70
y-axis libraries: SDLV2_384_SDLV3_384
y-axis client: DAL
y-axis user: SGA
y-axis date: 2009/08/28
y-axis PI: DAL
y-axis condition: SDM_rhk_CTGN
y-axis inoculation type: DIL
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YNL259C	ATX1	0.00929061	0.26246	-105.675	10.8227	161.127	10.8227	41.4589	8	8	t-test	E
YMR283C	RIT1	2.6816e-11	1.91913e-08	-102.803	0	142.185	0	1.98116	8	8	t-test	E
YJL130C	URA2	4.68631e-10	2.01622e-07	-100.232	0	138.63	0	2.909	8	8	t-test	E
YMR285C	NGL2	1.12164e-10	6.02043e-08	-97.6829	0	135.104	0	2.31018	8	8	t-test	E
YOR054C	VHS3	0.010843	0.29283	-96.8392	16.0306	156.109	6.59532	39.1662	8	8	t-test	E
YPR046W	MCM16	3.16637e-11	1.94234e-08	-92.3635	2.72465	131.515	2.72465	5.02689	8	8	t-test	E
YML106W	URA5	5.55647e-09	1.98829e-06	-91.9561	0	127.183	0	3.80499	8	8	t-test	E
YLR420W	URA4	9.75531e-08	2.79262e-05	-91.2297	6.01112	134.492	6.01112	3.78292	8	8	t-test	E
YMR289W	ABZ2	7.70481e-08	2.36318e-05	-90.2114	5.58846	132.499	5.58846	3.2321	8	8	t-test	E
YLR014C	PPR1	1.18763e-11	1.23676e-08	-89.5821	3.27496	128.429	3.27496	4.24353	8	8	t-test	E
YIL009C-A	EST3	6.99283e-10	2.72975e-07	-88.3827	4.48778	128.448	4.48778	5.05716	8	8	t-test	E
YEL065W	SIT1	0.000563259	0.0589911	-84.1127	14.4764	136.357	14.4764	3.91922	8	8	t-test	E
YMR291W	TDA1	0.00011412	0.0188474	-83.8724	11.2318	131.537	11.2318	2.81499	8	8	t-test	E
YKL216W	URA1	4.34759e-08	1.43604e-05	-82.8518	8.17784	125.902	5.45224	4.17619	8	8	t-test	E
YNL257C	SIP3	0.000478762	0.0541001	-75.9141	13.343	123.45	13.343	7.2027	8	8	t-test	E
YNL032W	SIW14	0.000107719	0.0185017	-75.5026	20.3044	132.509	9.9452	2.15924	8	8	t-test	E
YNR024W	MPP6	0.00437293	0.181616	-74.5603	22.0692	133.647	18.0834	2.42113	8	8	t-test	E
