R package version: 0.0-30
Summary type: mean
Test type: t-test
x-axis treatment: 20
x-axis medium: SDM_rhk_CTGN
x-axis screen ID: QFA0141
x-axis screen name: Addinall et al. (2011) 20C ura3
x-axis libraries: SDLV2_384_SDLV3_384
x-axis client: DAL
x-axis user: SGA
x-axis date: 2010/01/18
x-axis PI: DAL
x-axis condition: SDM_rhk_CTGN
x-axis inoculation type: DIL
x-axis fitness definition: MDRMDP
y-axis treatment: 20
y-axis medium: SDM_rhlk_CTGH
y-axis screen ID: QFA0140
y-axis screen name: Addinall et al. (2011) 20C cdc13-1
y-axis libraries: SDLV2_384_SDLV3_384
y-axis client: DAL
y-axis user: SGA
y-axis date: 2009/11/16
y-axis PI: DAL
y-axis condition: SDM_rhlk_CTGH
y-axis inoculation type: DIL
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YDL216C	RRI1	5.18984e-06	0.000965681	-75.2152	9.45787	84.3891	7.04014	2.22847	8	8	t-test	E
YDL218W	YDL218W	3.42717e-05	0.00380576	-70.1045	16.6356	86.4492	8.147	2.09914	8	8	t-test	E
YDL222C	FMP45	0.000129481	0.0110018	-62.1926	18.0852	80.0087	8.34072	0.995851	8	8	t-test	E
YGL080W	FMP37	1.62674e-06	0.000436576	-56.6789	13.4872	69.9308	4.87117	1.92367	8	8	t-test	E
YEL065W	SIT1	0.0045224	0.176347	-56.3715	24.1914	80.2928	13.9512	3.75037	8	8	t-test	E
YBL025W	RRN10	0.00680263	0.233684	-53.9485	9.12709	62.8641	6.83929	14.2953	8	8	t-test	E
YDL035C	GPR1	0.000911761	0.05593	-51.5251	20.1444	71.4291	9.6783	7.13496	8	8	t-test	E
YDL219W	DTD1	0.000797306	0.0503475	-50.4991	31.1993	81.4245	9.18217	1.74253	8	8	t-test	E
YGL009C	LEU1	0.000367944	0.0272405	-49.5399	31.6018	80.8695	8.13649	2.19146	8	8	t-test	E
YNL104C	LEU4	0.000130669	0.0110018	-46.7445	37.5592	84.0209	6.52234	1.56309	8	8	t-test	E
YDL215C	GDH2	0.017246	0.396262	-41.9896	41.3946	83.1046	13.5418	1.40083	8	8	t-test	E
YGL253W	HXK2	0.434311	1	-40.3647	73.2965	113.28	3.19554	48.4317	8	8	t-test	E
YNL277W	MET2	0.0371208	0.585177	-38.5606	43.7919	82.0764	14.9853	2.60927	8	8	t-test	E
YHR162W	MPC2	0.000299062	0.0229317	-38.3726	38.2443	76.3599	6.12184	1.68834	8	8	t-test	E
YOL004W	SIN3	0.000223086	0.0180742	-37.9769	19.9448	57.7275	5.71176	1.29625	8	8	t-test	E
YIL040W	APQ12	0.0135877	0.367901	-36.6933	13.8322	50.3561	5.81069	10.9465	8	8	t-test	E
YNL273W	TOF1	0.0707948	0.805178	-36.3448	25.0043	61.1434	12.5467	13.6513	8	8	t-test	E
YKL120W	OAC1	2.13755e-09	1.83573e-06	-35.8073	43.8317	79.372	1.60893	1.97891	8	8	t-test	E
YBR036C	CSG2	0.0192025	0.425028	-35.71	21.4627	56.981	8.85669	10.1116	8	8	t-test	E
YLR451W	LEU3	8.03071e-08	4.31048e-05	-35.3096	44.4083	79.4506	2.45246	1.33301	8	8	t-test	E
YFL018C	LPD1	5.39738e-06	0.000965681	-34.9278	39.6446	74.3224	3.26854	1.00971	8	8	t-test	E
YML013W	SEL1	0.0103239	0.30494	-34.4091	23.4913	57.7062	7.26124	8.94529	8	8	t-test	E
YGR231C	PHB2	3.5788e-23	7.68368e-20	-33.9574	37.1015	70.8206	2.15731	0.805917	56	56	t-test	E
YJL071W	ARG2	0.0109795	0.318555	-33.7613	21.5353	55.1111	7.51411	8.66083	8	8	t-test	E
YKL110C	KTI12	0.516975	1	-33.1744	78.7203	111.519	5.00374	48.2533	8	8	t-test	E
