R package version: 0.0-30
Summary type: mean
Test type: t-test
x-axis treatment: 20
x-axis medium: SDM_rhk_CTGN
x-axis screen ID: QFA0141
x-axis screen name: Addinall et al. (2011) 20C ura3
x-axis libraries: SDLV2_384_SDLV3_384
x-axis client: DAL
x-axis user: SGA
x-axis date: 2010/01/18
x-axis PI: DAL
x-axis condition: SDM_rhk_CTGN
x-axis inoculation type: DIL
x-axis fitness definition: MDRMDP
y-axis treatment: 37
y-axis medium: SDM_rhk_CTGN
y-axis screen ID: QFA0141
y-axis screen name: Addinall et al. (2011) 37C ura3
y-axis libraries: SDLV2_384_SDLV3_384
y-axis client: DAL
y-axis user: SGA
y-axis date: 2010/01/18
y-axis PI: DAL
y-axis condition: SDM_rhk_CTGN
y-axis inoculation type: DIL
y-axis fitness definition: MDRMDP
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YDR314C	RAD34	7.52991e-11	6.59866e-09	-136.8	0	88.6475	0	1.43179	8	8	t-test	E
YDR057W	YOS9	4.17401e-13	9.95734e-11	-135.883	2.45022	89.641	2.45022	2.33526	8	8	t-test	E
YPL192C	PRM3	5.49216e-10	3.47265e-08	-134.938	0	87.4411	0	1.87705	8	8	t-test	E
YBR019C	GAL10	2.34504e-08	8.25378e-07	-133.932	0	86.7891	0	3.19404	8	8	t-test	E
YBR171W	SEC66	7.50594e-12	1.03501e-09	-133.45	6.56569	90.7316	4.42906	3.05258	8	8	t-test	E
YCR089W	FIG2	2.73298e-09	1.28961e-07	-133.212	0	86.3227	0	2.3324	8	8	t-test	E
YBL053W	YBL053W	3.78312e-07	1.16034e-05	-132.66	0	85.9647	0	4.731	8	8	t-test	E
YLR315W	NKP2	8.21235e-09	3.26524e-07	-132.6	0	85.9261	0	2.71913	8	8	t-test	E
YGL110C	CUE3	2.70778e-09	1.28961e-07	-131.114	0	84.9628	0	2.29261	8	8	t-test	E
YBR111C	YSA1	3.4434e-10	2.34698e-08	-130.18	0	84.3575	0	1.69372	8	8	t-test	E
YPR096C	YPR096C	3.75114e-09	1.67785e-07	-129.989	0	84.2342	0	2.38181	8	8	t-test	E
YBL085W	BOI1	1.55768e-08	5.81623e-07	-129.879	0	84.1629	0	2.9202	8	8	t-test	E
YDL223C	HBT1	1.08832e-09	5.99135e-08	-129.819	0	84.1236	0	1.99179	8	8	t-test	E
YER149C	PEA2	1.09921e-08	4.177e-07	-129.168	0	83.702	0	2.76214	8	8	t-test	E
YBR030W	RKM3	1.16968e-07	3.9548e-06	-129.053	0	83.6276	0	3.88146	8	8	t-test	E
YDL243C	AAD4	4.02321e-09	1.76283e-07	-128.838	0	83.4884	0	2.38457	8	8	t-test	E
YCL036W	GFD2	4.04458e-13	9.95734e-11	-128.67	2.85076	85.2266	2.85076	2.36441	8	8	t-test	E
YNL087W	TCB2	7.02247e-11	6.41585e-09	-128.543	0	83.2968	0	1.332	8	8	t-test	E
YDR233C	RTN1	3.9134e-10	2.62565e-08	-128.224	0	83.0903	0	1.69913	8	8	t-test	E
YDL155W	CLB3	7.71318e-12	1.03501e-09	-127.803	2.93412	84.719	2.93412	2.79382	8	8	t-test	E
YAL053W	FLC2	1.90878e-13	5.85451e-11	-127.183	3.43033	84.6385	3.43033	2.08679	8	8	t-test	E
YDR248C	YDR248C	1.17016e-13	4.55335e-11	-126.823	2.85293	84.0314	2.85293	2.15958	8	8	t-test	E
YLR046C	YLR046C	2.38052e-11	2.62102e-09	-126.469	0	81.9532	0	1.12262	8	8	t-test	E
