R package version: 0.0-12
Summary type: mean
Test type: t-test
Control treatment: 27C
Control medium: SDM_rhk_CTGN
Control screen ID: QFA0028
Control screen name: Addinall et al. (2011) ura3D
Control libraries: SDLV2_384_SDLV3_384
Control client: DAL
Control user: SGA
Control date: 2010/01/18
Query treatment: 30C
Query medium: SDM_rhk_CTGN
Query screen ID: QFA0035
Query screen name: Addinall et al. (2011) yku70D
Query libraries: SDLV2_384_SDLV3_384
Query client: DAL
Query user: SGA
Query date: 2009/08/28 
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YJL130C	URA2	4.6849e-21	2.23522e-18	-137.252	0	136.586	0	1.73296	8	16	t-test	S
YMR285C	NGL2	1.22943e-12	4.39931e-10	-134.271	3.45012	137.052	3.45012	1.82789	8	16	t-test	S
YMR283C	RIT1	3.76029e-21	2.01833e-18	-132.912	0	132.266	0	1.65369	8	16	t-test	S
YMR289W	ABZ2	2.27258e-21	1.39407e-18	-132.592	0	131.948	0	1.59513	8	16	t-test	S
YML106W	URA5	4.8127e-23	4.13315e-20	-131.133	0	130.496	0	1.21955	8	16	t-test	S
YMR284W	YKU70	1.18934e-14	5.10704e-12	-130.843	2.88752	133.081	2.88752	1.83914	8	16	t-test	S
YIL009C-A	EST3	7.9895e-13	3.11881e-10	-128.299	3.11699	130.778	3.11699	1.62847	8	16	t-test	S
YLR014C	PPR1	1.8272e-22	1.30767e-19	-128.245	0	127.622	0	1.30379	8	16	t-test	S
YLR420W	URA4	2.1249e-09	5.70271e-07	-128.204	5.37416	132.93	5.37416	2.16394	8	16	t-test	S
YKL216W	URA1	2.41196e-07	4.50303e-05	-117.671	10.536	127.584	7.11325	1.85216	8	16	t-test	S
YMR291W	YMR291W	1.32978e-05	0.00184196	-116.509	17.3436	133.203	10.9716	0.929325	8	16	t-test	S
YEL065W	SIT1	0.0017007	0.0960895	-113.676	23.2069	136.218	23.2069	2.45664	8	16	t-test	S
YNL257C	SIP3	0.0004973	0.0402907	-108.185	26.6552	134.186	18.0285	2.47743	8	16	t-test	S
YNL259C	ATX1	0.00104584	0.0660419	-105.504	23.4561	128.334	19.7699	1.86635	8	16	t-test	S
YJL071W	ARG2	4.62366e-10	1.41814e-07	-105.196	0	104.686	0	7.42324	8	16	t-test	S
YBR036C	CSG2	1.22881e-10	4.05884e-08	-102.539	5.79158	107.805	5.79158	6.22961	8	16	t-test	S
YLR233C	EST1	6.52201e-24	7.00138e-21	-102.428	32.3605	134.135	5.98458	0.750125	56	112	t-test	S
YMR279C	YMR279C	0.001942	0.103524	-101.182	29.8304	130.376	21.0773	1.37762	8	16	t-test	S
YEL061C	CIN8	0.000283132	0.0264297	-100.239	15.2854	114.964	15.2854	2.20048	8	16	t-test	S
YMR292W	GOT1	0.00222688	0.113836	-98.4729	29.8265	127.676	21.0277	1.41001	8	16	t-test	S
YCR071C	IMG2	2.33181e-08	5.56266e-06	-97.5395	3.1416	100.192	3.1416	9.78835	8	16	t-test	S
YIL040W	APQ12	3.27697e-07	5.86304e-05	-95.3453	0	94.8823	0	10.9767	8	16	t-test	S
YLR418C	CDC73	5.83195e-05	0.00736541	-95.0278	20.9413	115.406	11.2629	1.28219	8	16	t-test	S
YFR025C	HIS2	1.74245e-07	3.40095e-05	-94.7909	0	94.3307	0	10.3847	8	16	t-test	S
YMR278W	YMR278W	0.0038048	0.16049	-93.8808	38.09	131.33	22.117	0.932633	8	16	t-test	S
YNL265C	IST1	5.37911e-06	0.000888381	-91.1882	12.8003	103.484	6.26014	13.4497	8	16	t-test	S
YMR276W	DSK2	0.00847432	0.2527	-90.875	46.0211	136.231	25.0983	1.4135	8	16	t-test	S
