R package version: 0.0-13
Summary type: mean
Test type: t-test
Control treatment: 20C
Control medium: SDM_rhk_CTGN
Control screen ID: QFA0028
Control screen name: Addinall et al. (2011) ura3D
Control libraries: SDLV2_384_SDLV3_384
Control client: DAL
Control user: SGA
Control date: 2010/01/18
Query treatment: 20C
Query medium: SDM_rhlk_CTGH
Query screen ID: QFA0029
Query screen name: Addinall et al. (2011) cdc13-1
Query libraries: SDLV2_384_SDLV3_384
Query client: DAL
Query user: SGA
Query date: 2009/11/16
#########################################################
ORF	Gene	P	Q	GIS	QueryFitnessSummary	ControlFitnessSummary	QuerySE	ControlSE	QueryCount	ControlCount	TestType	Type
YDL216C	RRI1	1.52332e-06	0.000436076	-73.6595	8.22554	83.4193	1.9092	5.90332	8	8	t-test	E
YDL218W	YDL218W	3.39732e-05	0.00428498	-68.3434	16.0904	86.0159	1.98322	7.88707	8	8	t-test	E
YDL222C	FMP45	0.000162141	0.0136111	-60.0937	18.0069	79.564	0.767127	8.29649	8	8	t-test	E
YGL080W	FMP37	8.34655e-07	0.000275693	-56.2859	12.8532	70.4346	1.65741	4.38353	8	8	t-test	E
YEL065W	SIT1	0.0043932	0.164038	-55.083	23.6049	80.1622	3.56642	13.5485	8	8	t-test	E
YBL025W	RRN10	0.00672435	0.228676	-51.8177	9.06517	62.0236	13.9786	6.78113	8	8	t-test	E
YDL219W	DTD1	0.000483978	0.0329873	-50.2299	28.4719	80.1764	1.41521	8.38065	8	8	t-test	E
YDL035C	GPR1	0.0012478	0.0686929	-48.5905	20.0113	69.8873	6.88075	9.60062	8	8	t-test	E
YGL009C	LEU1	0.000339015	0.0250774	-48.4102	30.9705	80.868	2.19262	7.86185	8	8	t-test	E
YNL104C	LEU4	0.000153394	0.0134423	-44.5286	36.6423	82.6919	1.51257	6.34656	8	8	t-test	E
YDL215C	GDH2	0.0156265	0.358824	-40.91	40.2171	82.6472	1.60823	12.9066	8	8	t-test	E
YGL253W	HXK2	0.419367	1	-40.8311	70.3206	113.234	48.4389	2.46693	8	8	t-test	E
YHR162W	YHR162W	0.000122479	0.0116872	-37.8328	34.8526	74.0473	2.14047	5.50517	8	8	t-test	E
YIL040W	APQ12	0.00912235	0.262895	-37.4611	11.7573	50.1406	10.7339	4.66461	8	8	t-test	E
YNL277W	MET2	0.0420344	0.603665	-36.4092	42.7547	80.6472	2.44996	14.6309	8	8	t-test	E
YOL004W	SIN3	0.000344566	0.0250774	-35.8723	19.9278	56.8456	1.09306	5.70197	8	8	t-test	E
YBR036C	CSG2	0.0178131	0.39337	-35.0369	20.5122	56.59	10.1278	8.38653	8	8	t-test	E
YFL018C	LPD1	6.93037e-06	0.00131687	-34.9752	37.7949	74.1336	1.0319	3.36109	8	8	t-test	E
YLR451W	LEU3	4.41052e-07	0.000172171	-34.4804	42.5226	78.4458	1.24581	2.67719	8	8	t-test	E
YNL273W	TOF1	0.0765157	0.818981	-34.0775	24.4611	59.6355	13.2627	12.1583	8	8	t-test	E
YKL055C	OAR1	5.08824e-05	0.00560228	-33.823	23.6916	58.5923	1.52708	4.3239	8	8	t-test	E
YDL223C	HBT1	0.00418495	0.160705	-33.3354	47.8167	82.6727	1.92756	8.10946	8	8	t-test	E
