Notes	GroupName	GroupID	GroupORFs
GO	phosphopyruvate hydratase complex	GO:0000015	SPBC1815.01 SPBPB21E7.01c
GO	nucleotide-excision repair complex	GO:0000109	SPBC25H2.13c SPBC577.09 SPAC17H9.10c SPBP8B7.14c SPAC17G8.03c SPBC3D6.09 SPBC776.18c SPAC17A5.06 SPAC1D4.12 SPCC970.01 SPBC649.03 SPCC330.01c SPAC12B10.12c SPCC4G3.10c SPCC330.02 SPBC582.10c SPBC4F6.15c SPAC16E8.11c SPBC13G1.13 SPAC12G12.10
GO	nucleotide-excision repair factor 1 complex	GO:0000110	SPCC970.01
GO	nucleotide-excision repair factor 3 complex	GO:0000112	SPBC776.18c SPAC17A5.06 SPAC1D4.12 SPAC16E8.11c SPBC13G1.13
GO	nucleotide-excision repair factor 4 complex	GO:0000113	SPBC582.10c
GO	RNA polymerase I transcription factor complex	GO:0000120	SPBC17D1.04 SPBC1685.13 SPAC22E12.08 SPBC725.17c SPAC18G6.11c SPAC29A4.10 SPBC3B8.11 SPBC336.09c SPCC285.17 SPAC29E6.08
GO	SAGA complex	GO:0000124	SPCC24B10.08c SPAC1952.05 SPBC887.18c SPBC28F2.10c SPAC57A10.14 SPBC1921.07c SPCC126.04c SPAC4D7.10c SPCC61.02 SPBC25H2.11c SPBC14C8.17c SPBC6B1.12c SPBC21H7.02 SPAC15A10.02 SPCC5E4.03c SPCC16C4.18c SPAC12G12.05c SPBP16F5.03c SPAC13A11.04c
GO	transcription factor TFIIIB complex	GO:0000126	SPCC1919.14c SPBC13E7.10c SPAC29E6.08
GO	transcription factor TFIIIC complex	GO:0000127	SPAC6F12.11c SPBC336.07 SPCC16C4.14c SPBC21H7.05 SPAC1250.07 SPBC8D2.07c
GO	polarisome	GO:0000133	SPCC1223.06 SPBC1706.01
GO	alpha-1,6-mannosyltransferase complex	GO:0000136	SPBC1734.04 SPAC4F10.10c SPAC1006.05c
GO	exocyst	GO:0000145	SPBC106.20 SPAC13F5.06c SPCC1183.01 SPCC1235.10c SPCC970.09 SPAC6F12.08c SPCC622.10c
GO	1,3-beta-D-glucan synthase complex	GO:0000148	SPBC19G7.05c SPAC24C9.07c SPAC19B12.03 SPCC1840.02c SPBC1289.01c
GO	protein phosphatase type 2A complex	GO:0000159	SPAP8A3.09c SPAC227.07c SPCC188.02 SPAC6F12.12
GO	protein phosphatase type 1 complex	GO:0000164	SPAC227.15
GO	ribonuclease MRP complex	GO:0000172	SPNCRNA.82 SPBP8B7.01c SPBC1709.20 SPAC25B8.16 SPAC323.08 SPAC3A12.04c SPBC1703.01c SPCC16C4.05 SPCC16C4.19 SPCC830.09c
GO	nuclear exosome (RNase complex)	GO:0000176	SPCC1840.11 SPCC1739.07 SPBC26H8.10 SPAC3G9.10c SPBC115.01c SPAC1F3.01 SPAC22A12.12c SPAC2F7.14c SPBC16G5.10 SPBC17D1.03c SPBC211.08c SPCC757.08
GO	cytoplasmic exosome (RNase complex)	GO:0000177	SPCC1840.11 SPBC26H8.10 SPAC3G9.10c SPBC115.01c SPAC22A12.12c SPAC2F7.14c SPBC16G5.10 SPBC17D1.03c SPBC211.08c SPCC757.08
GO	tRNA-intron endonuclease complex	GO:0000214	SPAC959.10 SPAPB17E12.07c SPBC19C7.07c SPCC613.09
GO	vacuolar proton-transporting V-type ATPase, V0 domain	GO:0000220	SPAC732.01 SPAC2C4.13 SPAC1B3.14 SPAC17A2.03c SPBC1685.16 SPAC16E8.07c
GO	vacuolar proton-transporting V-type ATPase, V1 domain	GO:0000221	SPBC1289.05c SPAC7D4.10 SPAC343.05 SPAC637.05c SPAC11E3.07 SPAPB2B4.05 SPBC3B9.18c SPCC965.03
GO	astral microtubule	GO:0000235	SPBC11C11.04c SPAC1805.08 SPAC18G6.15
GO	commitment complex	GO:0000243	SPCC962.06c SPBC146.07 SPAC27D7.07c SPBC19C2.14 SPAC6G10.07 SPAP8A3.06 SPBC13A2.01c SPAC19A8.13 SPBP35G2.09 SPAC4D7.13 SPBC4B4.09
GO	mitochondrial proton-transporting ATP synthase, stator stalk	GO:0000274	SPBC1604.07 SPCC1840.06 SPBC29A10.13
GO	mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)	GO:0000275	SPBC31F10.15c SPBC13E7.04 SPAC14C4.14 SPAC222.12c SPBC1734.13
GO	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	GO:0000276	SPBC29A3.10c SPBC1604.11 SPAC23C4.11 SPAC25H1.10c SPAC22F3.07c SPBC1604.07 SPCC1840.06 SPMIT.07 SPBC29A10.13 SPMIT.09 SPMIT.10 SPBC106.05c
GO	cyclin-dependent protein kinase holoenzyme complex	GO:0000307	SPBC11B10.09 SPAC19E9.03 SPBC20F10.10 SPBC1734.14c
GO	telomerase catalytic core complex	GO:0000333	SPNCRNA.214 SPBC29A3.14c
GO	transcription export complex	GO:0000346	SPBC1D7.04 SPBC1105.07c SPBC577.04 SPCC18B5.10c SPAC17G6.14c
GO	THO complex	GO:0000347	SPCC24B10.11c SPBC106.12c SPBC577.04 SPCP25A2.03 SPAC1D4.14
GO	EKC/KEOPS complex	GO:0000408	SPCC24B10.12 SPAC6B12.18 SPBC16D10.03 SPAC4H3.13 SPAP27G11.07c
GO	HIR complex	GO:0000417	SPBC31F10.13c SPBC31F10.14c SPBC947.08c SPBC15D4.03
GO	DNA-directed RNA polymerase complex	GO:0000428	SPBC1718.03 SPBC4C3.05c SPBC947.13 SPCC1259.03 SPBP23A10.07 SPBC11G11.05 SPBC3B9.07c SPAC2F3.03c SPAC1B3.12c SPAC3A12.07 SPBC28F2.12 SPAC23G3.01 SPCC1442.10c SPAC23C4.15 SPCC1020.04c SPBC14C8.12 SPBC19C2.03 SPAC22A12.05 SPAPB1E7.10 SPAC1687.01 SPBC651.08c SPBC2G5.07c SPAC4G9.08c SPBC839.12 SPCC290.02 SPCC330.13 SPBC1289.07c SPCC18.07 SPAPB1E7.03
GO	core TFIIH complex	GO:0000439	SPBC30B4.07c
GO	SSL2-core TFIIH complex	GO:0000441	SPBC30B4.07c
GO	MIS12/MIND type complex	GO:0000444	SPBC409.04c SPBC409.09c SPAC688.02c SPAC29E6.04
GO	RNA polymerase I upstream activating factor complex	GO:0000500	SPBC17D1.04 SPAC22E12.08 SPAC29A4.10 SPCC285.17
GO	proteasome complex	GO:0000502	SPAC3G6.02 SPAC1782.01 SPBP19A11.03c SPAC22F8.06 SPCC1795.04c SPBC4C3.10c SPBC106.16 SPCC1442.06 SPAC4A8.13c SPAC23D3.07 SPAC323.02c SPCC63.12c SPAC637.10c SPAC31G5.13 SPBC16G5.01 SPBC342.04 SPCC16A11.16c SPBC17D11.07c SPBC119.01 SPAC1420.03 SPAPB8E5.02c SPAC23G3.11 SPBC582.07c SPCC1682.10 SPAC607.05 SPBC16C6.07c SPBC4.07c SPCC576.10c SPCC1682.16 SPAC3A11.12c SPBC23G7.12c SPAC13C5.01c SPAC31A2.04c SPAC6C3.08 SPAC6G10.04c SPBC577.10 SPBC646.16 SPCC18.17c SPAC6G9.08 SPBC409.06
GO	glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex	GO:0000506	SPBC30D10.11 SPCC550.04c SPBC3D6.07
GO	condensed nuclear chromosome kinetochore	GO:0000778	SPCC895.07 SPCC320.13c SPBC27.02c SPCC962.02c SPCC1322.12c SPAC23H3.08c SPBC1861.01c SPAC16A10.05c SPAC1805.07c SPAC14C4.16 SPBC3B9.22c SPCC417.02 SPAC589.08c SPCC736.14 SPBC32F12.08c SPAC4F10.12 SPAC1783.03 SPBP8B7.12c SPAC11H11.05c SPAC664.10 SPBC2F12.13 SPBC1685.15c SPBC3D6.04c SPBC20F10.06 SPCC1795.01c SPBC409.04c SPBC409.09c SPAC688.02c SPCC1672.10 SPBC21.01 SPCC970.12 SPBC106.01 SPBC725.12 SPBC11C11.03 SPAC29E6.04 SPAC27F1.04c SPAC11E3.03 SPAC3A11.14c SPBP35G2.03c SPAC15A10.15 SPAC821.08c SPBC3B8.08 SPBC800.13 SPCC1223.15c SPBC336.08 SPCC188.04c SPAC8C9.17c SPCC1020.02 SPCC1442.02
GO	nuclear telomere cap complex	GO:0000783	SPCC188.07 SPAC13G7.10 SPAC26H5.06 SPAC19G12.13c SPBC1778.02 SPAC6F6.17 SPBC409.12c SPAC16A10.07c SPCC1393.14 SPAC6F6.16c
GO	nucleosome	GO:0000786	SPBC1105.17 SPAC1834.03c SPBC8D2.03c SPBC1105.12 SPAC1834.04 SPBC8D2.04 SPBC1105.11c SPCC622.08c SPAC19G12.06c SPCC622.09 SPBC11B10.10c SPBC800.13
GO	nuclear nucleosome	GO:0000788	SPAC1834.03c SPBC8D2.03c SPBC1105.12 SPAC1834.04 SPBC8D2.04 SPBC1105.11c
GO	condensin complex	GO:0000796	SPBC776.13 SPCC306.03c SPCC188.03 SPBP4H10.06c SPBC146.03c
GO	origin recognition complex	GO:0000808	SPBC29A10.15 SPBC685.09 SPAC3H1.01c SPBP23A10.13 SPBC646.14c SPBC2A9.12
GO	GINS complex	GO:0000811	SPBP23A10.09 SPBC725.13c SPAC227.16c SPBP4H10.21c
