ORF	Gene
15S_rRNA	15S_RRNA
21S_rRNA	21S_RRNA
YMR056C	AAC1
YBR085W	AAC3
YJR155W	AAD10
YNL331C	AAD14
YOL165C	AAD15
YFL057C	AAD16
YCR107W	AAD3
YDL243C	AAD4
YFL056C	AAD6
YNL141W	AAH1
YHR047C	AAP1
YBL074C	AAR2
YKL106W	AAT1
YLR027C	AAT2
YBR236C	ABD1
YKL112W	ABF1
YMR072W	ABF2
YJR108W	ABM1
YCR088W	ABP1
YOR239W	ABP140
YNR033W	ABZ1
YMR289W	ABZ2
YER045C	ACA1
YGR037C	ACB1
YNR016C	ACC1
YLR131C	ACE2
YLR144C	ACF2
YJR083C	ACF4
YBL015W	ACH1
YDL203C	ACK1
YPL267W	ACM1
YDR511W	ACN9
YLR304C	ACO1
YJL200C	ACO2
YKL192C	ACP1
YAL054C	ACS1
YLR153C	ACS2
YFL039C	ACT1
YDR448W	ADA2
YMR184W	ADD37
YKL206C	ADD66
YAR015W	ADE1
YNL220W	ADE12
YLR359W	ADE13
YLR028C	ADE16
YMR120C	ADE17
YOR128C	ADE2
YGR204W	ADE3
YMR300C	ADE4
YGL234W	ADE5,7
YGR061C	ADE6
YDR408C	ADE8
YCL058W-A	ADF1
YOL086C	ADH1
YMR303C	ADH2
YMR083W	ADH3
YGL256W	ADH4
YBR145W	ADH5
YMR318C	ADH6
YCR105W	ADH7
YMR009W	ADI1
YDR226W	ADK1
YER170W	ADK2
YJR105W	ADO1
YCR011C	ADP1
YDR216W	ADR1
YCR010C	ADY2
YDL239C	ADY3
YLR227C	ADY4
YMR064W	AEP1
YMR282C	AEP2
YPL005W	AEP3
YEL052W	AFG1
YLR397C	AFG2
YER017C	AFG3
YOR129C	AFI1
YDR085C	AFR1
YGL071W	AFT1
YPL202C	AFT2
YNR044W	AGA1
YGL032C	AGA2
YPR021C	AGC1
YDR524C	AGE1
YIL044C	AGE2
YCL025C	AGP1
YBR132C	AGP2
YFL055W	AGP3
YFL030W	AGX1
YDR214W	AHA1
YOR023C	AHC1
YCR082W	AHC2
YLR109W	AHP1
Q0050	AI1
Q0055	AI2
Q0060	AI3
Q0065	AI4
Q0070	AI5_ALPHA
Q0075	AI5_BETA
YNR074C	AIF1
YAL046C	AIM1
YER087W	AIM10
YER093C-A	AIM11
YFR011C	AIM13
YGL160W	AIM14
YHL021C	AIM17
YHR198C	AIM18
YIL087C	AIM19
YAL049C	AIM2
YIL158W	AIM20
YIR003W	AIM21
YJL046W	AIM22
YJL131C	AIM23
YJR080C	AIM24
YJR100C	AIM25
YKL037W	AIM26
YKR074W	AIM29
YBR108W	AIM3
YML050W	AIM32
YML087C	AIM33
YMR003W	AIM34
YMR157C	AIM36
YNL100W	AIM37
YOL053W	AIM39
YBR194W	AIM4
YOR215C	AIM41
YPL099C	AIM43
YPL158C	AIM44
YPR004C	AIM45
YHR199C	AIM46
YBR262C	AIM5
YDL237W	AIM6
YDR063W	AIM7
YER080W	AIM9
YMR092C	AIP1
YIL079C	AIR1
YDL175C	AIR2
YBR059C	AKL1
YDR264C	AKR1
YOR034C	AKR2
YOR335C	ALA1
YJL122W	ALB1
YMR170C	ALD2
YMR169C	ALD3
YOR374W	ALD4
YER073W	ALD5
YPL061W	ALD6
YOR175C	ALE1
YNL148C	ALF1
YBR110W	ALG1
YNL048W	ALG11
YNR030W	ALG12
YGL047W	ALG13
YBR070C	ALG14
YGL065C	ALG2
YBL082C	ALG3
YPL227C	ALG5
YOR002W	ALG6
YBR243C	ALG7
YOR067C	ALG8
YNL219C	ALG9
YGL021W	ALK1
YBL009W	ALK2
YML086C	ALO1
YNL270C	ALP1
YOL130W	ALR1
YFL050C	ALR2
YLR089C	ALT1
YDR111C	ALT2
YKR021W	ALY1
YJL084C	ALY2
YGR225W	AMA1
YML035C	AMD1
YDR242W	AMD2
YBR211C	AME1
YBR158W	AMN1
YGL156W	AMS1
YJR047C	ANB1
YEL036C	ANP1
YKL047W	ANR2
YHR126C	ANS1
YPR128C	ANT1
YPR180W	AOS1
YCL050C	APA1
YDR530C	APA2
YNL172W	APC1
YDL008W	APC11
YLR127C	APC2
YDR118W	APC4
YOR249C	APC5
YLR102C	APC9
YBR151W	APD1
YKL103C	APE1
YKL157W	APE2
YBR286W	APE3
YHR113W	APE4
YNL077W	APJ1
YJR005W	APL1
YKL135C	APL2
YBL037W	APL3
YPR029C	APL4
YPL195W	APL5
YGR261C	APL6
YPL259C	APM1
YHL019C	APM2
YBR288C	APM3
YOL062C	APM4
YKL114C	APN1
YBL019W	APN2
YNL094W	APP1
YIL040W	APQ12
YLR170C	APS1
YJR058C	APS2
YJL024C	APS3
YML022W	APT1
YDR441C	APT2
YNL065W	AQR1
YPR192W	AQY1
YLL052C	AQY2
YBR149W	ARA1
YMR041C	ARA2
YER036C	ARB1
YGL105W	ARC1
YIL062C	ARC15
YLR370C	ARC18
YKL013C	ARC19
YNR035C	ARC35
YBR234C	ARC40
YHR013C	ARD1
YCR048W	ARE1
YNR019W	ARE2
YDL192W	ARF1
YDL137W	ARF2
YOR094W	ARF3
YOL058W	ARG1
YJL071W	ARG2
YJL088W	ARG3
YHR018C	ARG4
YER069W	ARG5,6
YMR062C	ARG7
YOL140W	ARG8
YMR042W	ARG80
YML099C	ARG81
YDR173C	ARG82
YDR376W	ARH1
YGL157W	ARI1
YNL020C	ARK1
YBR164C	ARL1
YPL051W	ARL3
YHL040C	ARN1
YHL047C	ARN2
YDR127W	ARO1
YDR380W	ARO10
YGL148W	ARO2
YDR035W	ARO3
YBR249C	ARO4
YPR060C	ARO7
YGL202W	ARO8
YDR421W	ARO80
YHR137W	ARO9
YHR129C	ARP1
YDR106W	ARP10
YDL029W	ARP2
YJR065C	ARP3
YJL081C	ARP4
YNL059C	ARP5
YLR085C	ARP6
YPR034W	ARP7
YOR141C	ARP8
YMR033W	ARP9
YPR199C	ARR1
YPR200C	ARR2
YPR201W	ARR3
YLR392C	ART10
YGR068C	ART5
YLR242C	ARV1
YDR101C	ARX1
YPR085C	ASA1
YMR116C	ASC1
YOR058C	ASE1
YJL115W	ASF1
YDL197C	ASF2
YIL130W	ASG1
YJL170C	ASG7
YKL185W	ASH1
YMR119W	ASI1
YNL159C	ASI2
YNL008C	ASI3
YKL052C	ASK1
YGR097W	ASK10
YDL088C	ASM4
YPR145W	ASN1
YGR124W	ASN2
YDR321W	ASP1
YLR155C	ASP3-1
YLR157C	ASP3-2
YLR158C	ASP3-3
YLR160C	ASP3-4
YPR093C	ASR1
YBL069W	AST1
YER101C	AST2
YDR184C	ATC1
YGL017W	ATE1
YOR377W	ATF1
YGR177C	ATF2
YGL180W	ATG1
YLL042C	ATG10
YPR049C	ATG11
YBR217W	ATG12
YPR185W	ATG13
YBR128C	ATG14
YCR068W	ATG15
YMR159C	ATG16
